epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
60,1699.8748779296875,0.001,883.7282104492188,5057.64453125,4241.419921875
61,1694.8365478515625,0.001,878.4132690429688,5191.74072265625,4375.185546875
62,1716.6976318359375,0.001,900.075927734375,5244.15576171875,4427.39013671875
63,1724.10107421875,0.001,906.9422607421875,5141.35498046875,4323.740234375
64,1703.25244140625,0.001,885.4315795898438,5381.03369140625,4562.970703125
65,1703.1651611328125,0.001,884.9676513671875,5244.57421875,4426.1123046875
66,1722.0235595703125,0.001,903.1837768554688,5348.74072265625,4529.59130859375
67,1729.3465576171875,0.001,909.921630859375,5027.265625,4207.57470703125
68,1664.4915771484375,0.001,844.4925537109375,5104.927734375,4284.63818359375
69,1649.36572265625,0.001,828.8478393554688,5172.14501953125,4351.3408203125
70,1789.7930908203125,0.001,968.5819702148438,5253.779296875,4432.05126953125
71,1725.8023681640625,0.001,903.5326538085938,5097.818359375,4275.0126953125
72,1652.4732666015625,0.001,829.4743041992188,5008.822265625,4185.55517578125
73,1566.4945068359375,0.001,743.1442260742188,5213.8916015625,4390.4052734375
74,1581.923095703125,0.001,758.177001953125,5083.91455078125,4259.8857421875
75,1629.512939453125,0.001,805.230712890625,5174.8095703125,4350.267578125
76,1741.5994873046875,0.001,916.512939453125,4743.45166015625,3917.80322265625
77,1713.1148681640625,0.001,887.2069702148438,5087.52587890625,4261.189453125
78,1707.343017578125,0.001,880.5599975585938,5123.50146484375,4296.2236328125
79,1627.62353515625,0.001,799.84326171875,5202.64111328125,4374.51416015625
80,1616.258544921875,0.001,787.9174194335938,5347.46044921875,4518.81982421875
81,1616.36572265625,0.001,787.4332885742188,5035.1953125,4205.89111328125
82,1614.4085693359375,0.001,784.7357788085938,5396.8798828125,4566.91845703125
83,1639.0394287109375,0.001,808.7154541015625,4982.27734375,4151.7900390625
84,1685.1322021484375,0.001,854.2684936523438,5182.33447265625,4350.99951171875
85,1597.6182861328125,0.001,765.8881225585938,4658.0341796875,3826.067138671875
86,1647.866455078125,0.001,815.4508666992188,5061.9873046875,4229.13916015625
87,1611.2164306640625,0.001,777.9591674804688,5014.95458984375,4181.34423828125
88,1562.5621337890625,0.001,728.618896484375,4944.01953125,4109.67333984375
89,1626.0032958984375,0.001,791.4266357421875,4843.5478515625,4008.583740234375
90,1573.9202880859375,0.001,738.694580078125,5147.64990234375,4312.0625
91,1595.503173828125,0.001,759.7013549804688,5090.71484375,4254.5908203125
92,1584.9342041015625,0.001,748.69580078125,4835.35302734375,3998.858642578125
93,1593.947509765625,0.001,757.2647705078125,4872.52001953125,4035.46337890625
94,1664.01953125,0.001,826.2181396484375,5041.81982421875,4203.37451171875
95,1562.9881591796875,0.001,724.2142944335938,5047.5400390625,4208.4794921875
96,1539.974365234375,0.001,700.7008666992188,4980.93994140625,4141.5224609375
97,1555.140625,0.001,715.530029296875,5103.25732421875,4263.25439453125
98,1542.291259765625,0.001,701.8948974609375,5499.583984375,4658.88037109375
99,1614.4434814453125,0.001,773.2092895507812,5180.6611328125,4338.7978515625
