epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
142,7776.841796875,0.001,4555.38525390625,42934.078125,39712.828125
143,7198.4306640625,0.001,3985.171142578125,45261.46875,42058.01953125
144,7075.8173828125,0.001,3881.418701171875,42218.64453125,39032.890625
145,7258.017578125,0.001,4079.801513671875,42481.0234375,39310.65234375
146,7127.76416015625,0.001,3965.697265625,43100.0703125,39945.57421875
147,7989.3037109375,0.001,4829.36279296875,40269.1953125,37091.96484375
148,7720.48388671875,0.001,4537.7587890625,43331.171875,40146.046875
149,7425.734375,0.001,4240.85595703125,41064.55078125,37881.453125
150,7040.33447265625,0.001,3863.91943359375,43751.921875,40579.2265625
151,7330.40771484375,0.001,4157.75048828125,44616.0859375,41442.68359375
152,7305.73193359375,0.001,4128.9970703125,39455.33984375,36272.32421875
153,7204.74609375,0.001,4026.68603515625,42982.44921875,39811.171875
154,7107.1357421875,0.001,3936.521484375,40156.78515625,36987.87109375
155,7137.68701171875,0.001,3978.11376953125,46047.55078125,42891.76171875
156,6998.9033203125,0.001,3849.59033203125,45266.0703125,42119.90625
157,7148.24169921875,0.001,4005.902587890625,45003.453125,41866.25390625
158,6685.2392578125,0.001,3556.573974609375,43226.8359375,40103.67578125
159,6423.4775390625,0.001,3306.83251953125,43378.09375,40267.3984375
160,7000.90771484375,0.001,3889.49658203125,43430.85546875,40322.21875
161,7096.86181640625,0.001,3993.0048828125,41374.4140625,38272.40234375
162,6667.32958984375,0.001,3571.282470703125,41970.34375,38880.84375
163,6581.7431640625,0.001,3498.45068359375,41965.3984375,38892.30078125
164,6551.2236328125,0.001,3487.16162109375,41707.91796875,38642.61328125
165,7079.6201171875,0.001,4013.266357421875,40614.66015625,37548.54296875
166,6231.0732421875,0.001,3171.0419921875,41882.76953125,38831.9375
167,6167.6611328125,0.001,3129.729736328125,41507.98828125,38481.99609375
168,6425.478515625,0.001,3405.6484375,42325.796875,39311.33203125
169,6333.73388671875,0.001,3322.590576171875,41706.6484375,38698.94921875
170,6053.28955078125,0.001,3057.926025390625,39789.32421875,36802.80078125
171,6295.177734375,0.001,3312.962890625,40789.62109375,37812.94921875
172,6322.68798828125,0.001,3342.429443359375,39551.0546875,36573.9921875
173,6170.7861328125,0.001,3197.2998046875,40754.1484375,37787.1484375
174,6381.2119140625,0.001,3421.977783203125,41531.2890625,38576.21484375
175,6509.4287109375,0.001,3554.323486328125,43460.19140625,40503.96875
176,6856.177734375,0.001,3895.537109375,39969.15625,37000.70703125
177,6493.62744140625,0.001,3527.42333984375,43072.953125,40109.03515625
178,6336.41748046875,0.001,3375.714111328125,41960.3359375,38999.6484375
179,6194.53515625,0.001,3231.005859375,42170.62109375,39211.8125
180,6257.04248046875,0.001,3306.733154296875,41188.3359375,38243.71875
181,6249.7001953125,0.001,3297.78125,41350.265625,38401.125
182,6545.04443359375,0.001,3597.5205078125,40424.17578125,37480.38671875
183,5990.603515625,0.001,3053.962890625,42710.73828125,39781.859375
184,5668.90625,0.001,2747.91845703125,42257.671875,39346.8359375
185,5888.65234375,0.001,2989.251953125,41635.51171875,38743.76171875
186,5807.75634765625,0.001,2921.3642578125,41944.24609375,39063.15625
187,5704.5576171875,0.001,2830.074951171875,42581.38671875,39710.93359375
188,5930.67138671875,0.001,3065.324951171875,43542.82421875,40680.23828125
189,5813.130859375,0.001,2954.49853515625,42189.65625,39334.7578125
190,5607.11767578125,0.001,2758.62060546875,41621.11328125,38776.828125
191,6117.544921875,0.001,3272.488037109375,43097.2890625,40242.59375
192,5844.9033203125,0.001,2991.06787109375,47283.55078125,44432.56640625
193,5846.01611328125,0.001,2998.552734375,43979.12890625,41139.6875
194,5661.37060546875,0.001,2828.890625,41707.5546875,38881.05859375
195,5734.81103515625,0.001,2912.655029296875,44057.296875,41235.78125
196,5456.10205078125,0.001,2642.0126953125,43364.390625,40559.79296875
197,5494.24853515625,0.001,2696.030029296875,41284.12890625,38493.14453125
198,5485.95556640625,0.001,2704.351806640625,41275.97265625,38500.48046875
199,5797.66357421875,0.001,3024.0126953125,41868.4609375,39094.83203125
