epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
55,35861.2890625,0.001,32945.62890625,81997.6484375,79042.78125
56,33476.171875,0.001,30478.8828125,70326.8125,67292.90625
57,29798.435546875,0.001,26727.671875,69093.703125,65990.046875
58,30187.7109375,0.001,27047.6015625,68446.734375,65269.703125
59,28552.919921875,0.001,25344.51953125,71803.2109375,68559.3828125
60,27267.0078125,0.001,23988.408203125,81011.703125,77698.8984375
61,26757.537109375,0.001,23406.671875,70000.578125,66612.09375
62,24610.490234375,0.001,21200.0703125,69002.5859375,65562.8125
63,23604.177734375,0.001,20135.08203125,73254.1328125,69747.421875
64,23541.658203125,0.001,20009.9921875,70354.5625,66794.9921875
65,22039.607421875,0.001,18455.171875,70634.6953125,67023.8515625
66,19298.220703125,0.001,15670.3154296875,74151.90625,70503.15625
67,20111.82421875,0.001,16438.232421875,70055.3125,66359.9765625
68,19705.599609375,0.001,16000.7099609375,71730.9375,68010.390625
69,20420.8671875,0.001,16679.859375,67665.46875,63907.6015625
70,18064.845703125,0.001,14293.6171875,69946.921875,66164.2734375
71,18520.708984375,0.001,14721.91015625,67973.046875,64160.6484375
72,17678.1484375,0.001,13858.1025390625,71568.40625,67733.296875
73,17563.0234375,0.001,13716.3779296875,74212.8828125,70351.3515625
74,17866.435546875,0.001,13994.7958984375,73878.421875,69994.625
75,16053.3837890625,0.001,12157.6240234375,69155.0625,65247.12890625
76,15700.486328125,0.001,11787.8876953125,68715.4375,64794.71875
77,14963.8984375,0.001,11041.3720703125,71657.4296875,67728.6953125
78,14785.0986328125,0.001,10850.8623046875,72632.15625,68692.6171875
79,15450.4970703125,0.001,11505.9150390625,69944.71875,65991.8125
80,14481.7177734375,0.001,10525.1328125,69756.4140625,65797.1953125
81,15044.021484375,0.001,11086.177734375,70977.1171875,67015.1484375
82,15167.62109375,0.001,11195.3251953125,78288.4296875,74307.53125
83,14158.419921875,0.001,10172.388671875,70790.0078125,66798.0
84,13771.5048828125,0.001,9781.638671875,68980.5,64987.0703125
85,13633.1796875,0.001,9638.8291015625,73464.6875,69467.390625
86,13952.7861328125,0.001,9949.1865234375,71135.3984375,67127.8828125
87,13004.5341796875,0.001,8998.6591796875,74145.375,70139.828125
88,12978.744140625,0.001,8969.662109375,71916.21875,67906.65625
89,12730.9140625,0.001,8718.837890625,73827.8671875,69815.3515625
90,12976.2529296875,0.001,8962.32421875,75143.9140625,71127.953125
91,13897.4326171875,0.001,9880.5751953125,74845.6484375,70823.65625
92,12983.2421875,0.001,8954.9423828125,70325.1328125,66294.6015625
93,12170.52734375,0.001,8141.8974609375,71207.7109375,67178.78125
94,12416.791015625,0.001,8386.310546875,76532.421875,72500.2421875
95,12097.3603515625,0.001,8064.0556640625,67916.6328125,63881.82421875
96,12206.4912109375,0.001,8174.09326171875,80789.2109375,76759.8125
97,11874.2978515625,0.001,7841.126953125,69698.796875,65667.109375
98,11541.9912109375,0.001,7513.54833984375,71829.640625,67803.1953125
99,11041.8515625,0.001,7021.29443359375,67900.3984375,63882.82421875
100,10786.580078125,0.001,6772.9560546875,68949.828125,64940.67578125
101,10914.326171875,0.001,6908.27197265625,69907.4765625,65905.7109375
102,11279.0927734375,0.001,7277.205078125,73017.328125,69013.2578125
103,11187.40625,0.001,7181.1845703125,74118.796875,70113.1796875
104,11596.5703125,0.001,7589.67626953125,69428.3828125,65420.19140625
105,10804.072265625,0.001,6798.73876953125,69822.3984375,65820.109375
106,10139.30859375,0.001,6142.52978515625,71018.3984375,67026.046875
107,10308.0625,0.001,6320.94580078125,68378.3984375,64396.0703125
108,10678.5986328125,0.001,6696.41259765625,83602.28125,79620.625
109,10690.84765625,0.001,6702.919921875,72167.203125,68177.765625
110,10692.552734375,0.001,6703.18359375,67731.03125,63740.453125
111,10471.125,0.001,6480.59130859375,71631.4921875,67645.1484375
112,10380.4091796875,0.001,6395.541015625,72971.34375,68988.953125
113,10411.0146484375,0.001,6429.84130859375,74967.4140625,70986.4296875
114,10075.7578125,0.001,6096.62646484375,72606.7578125,68629.40625
115,9853.55859375,0.001,5880.78076171875,72802.2578125,68831.2734375
116,10409.95703125,0.001,6439.29296875,69121.0390625,65152.32421875
117,10190.6845703125,0.001,6225.38671875,67335.5,63373.375
118,10015.5068359375,0.001,6054.3623046875,74238.328125,70276.8671875
119,9546.5556640625,0.001,5587.64453125,68543.015625,64588.92578125
120,9929.7919921875,0.001,5975.326171875,70399.6171875,66448.390625
121,9156.6474609375,0.001,5211.470703125,74231.203125,70292.453125
122,9835.681640625,0.001,5903.81396484375,73198.0390625,69266.8984375
123,9398.44921875,0.001,5465.8720703125,71381.1953125,67448.34375
124,9356.4296875,0.001,5429.01123046875,70522.7109375,66599.09375
125,9330.6416015625,0.001,5411.77001953125,71686.59375,67772.359375
126,9309.83984375,0.001,5399.39208984375,72842.078125,68934.859375
127,9121.4404296875,0.001,5219.99072265625,73003.375,69105.5234375
128,9531.4462890625,0.001,5635.49853515625,72915.859375,69019.5625
129,8828.8154296875,0.001,4937.99658203125,71595.4765625,67712.34375
130,8630.3720703125,0.001,4750.69384765625,69414.5390625,65537.3671875
131,8851.66796875,0.001,4975.55615234375,74308.921875,70432.703125
132,8724.37109375,0.001,4853.1455078125,75149.96875,71282.765625
133,8748.783203125,0.001,4888.2470703125,71683.8203125,67830.15625
134,9191.7470703125,0.001,5340.37744140625,72584.4375,68736.4375
135,8507.1171875,0.001,4669.67236328125,73193.046875,69363.2734375
136,8600.3310546875,0.001,4777.13330078125,72116.421875,68298.2265625
137,8355.2099609375,0.001,4544.0205078125,67242.1328125,63435.36328125
138,8152.97021484375,0.001,4350.95947265625,70058.921875,66259.734375
139,8400.2978515625,0.001,4605.416015625,70672.171875,66878.421875
140,8789.5166015625,0.001,5001.03955078125,68951.1171875,65161.53125
141,8759.4609375,0.001,4967.203125,75296.6796875,71501.3359375
142,8085.06884765625,0.001,4291.21728515625,70643.515625,66854.7734375
143,8700.466796875,0.001,4916.98046875,73498.6953125,69717.9765625
