epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
55,24501.70703125,0.001,22024.67578125,44900.0234375,42400.12890625
56,24255.4765625,0.001,21735.9375,44665.16015625,42126.6953125
57,24755.9609375,0.001,22192.6328125,44001.1640625,41415.23828125
58,23176.15234375,0.001,20572.095703125,44198.015625,41574.05078125
59,22807.759765625,0.001,20165.869140625,44637.34375,41971.09375
60,22616.52734375,0.001,19933.16796875,48016.1796875,45315.46875
61,21428.22265625,0.001,18711.8828125,46416.06640625,43680.7734375
62,20277.64453125,0.001,17530.048828125,43603.06640625,40842.5
63,20860.0546875,0.001,18079.89453125,50021.6640625,47221.08984375
64,19759.95703125,0.001,16945.94140625,44909.48046875,42080.8359375
65,19550.3359375,0.001,16705.935546875,44990.75390625,42130.5703125
66,19177.69921875,0.001,16306.0341796875,42617.60546875,39732.02734375
67,18375.66015625,0.001,15476.6201171875,44281.0859375,41370.90234375
68,18392.40234375,0.001,15467.5166015625,46093.03125,43151.37890625
69,18381.15234375,0.001,15425.1650390625,43424.48046875,40454.8359375
70,17241.0546875,0.001,14260.2685546875,45048.71875,42056.9296875
71,18562.541015625,0.001,15558.166015625,46230.4453125,43208.5546875
72,15631.115234375,0.001,12600.736328125,45426.546875,42387.28125
73,16237.8515625,0.001,13187.8310546875,44350.12890625,41292.40625
74,16180.4736328125,0.001,13116.056640625,44161.9453125,41088.13671875
75,15206.005859375,0.001,12123.9287109375,45393.4609375,42305.8515625
76,15654.80078125,0.001,12558.0595703125,46449.7265625,43341.8046875
77,16088.044921875,0.001,12966.2041015625,45226.5703125,42088.53125
78,15233.6171875,0.001,12083.7275390625,45443.25390625,42277.87109375
79,15451.89453125,0.001,12277.33203125,44784.57421875,41602.7109375
80,14505.9833984375,0.001,11316.9404296875,45940.3203125,42745.01953125
81,14275.1162109375,0.001,11074.3486328125,43604.23046875,40392.46875
82,14083.041015625,0.001,10862.4921875,46668.71484375,43433.453125
83,14715.4453125,0.001,11469.5390625,47499.9140625,44242.78515625
84,14583.576171875,0.001,11319.78125,46409.3984375,43129.8046875
